template,primer,sample,dilution,Ct,Ct mean,Ct SD,log(dilution),,,GAPDH,DENV2_1,DENV2_2,DENV2_3,DENV2_revcomp_1,DENV2_revcomp_2,DENV2_revcomp_3,panDENV
#14,GAPDH,1:20,0.05,17.356,17.337,0.028,-4.321928095,,,17.337,25.109,25.546,28.07,24.734,27.699,27.887,22.146
,,1:20,0.05,17.317,17.337,0.028,-4.321928095,,,17.337,25.109,25.546,28.07,24.734,27.699,27.887,22.146
,,0.180555556,0.005,20.618,20.618,0.001,-7.64385619,,,20.618,28.496,28.822,31.466,28.907,30.623,30.96,21.938
,,0.180555556,0.005,20.619,20.618,0.001,-7.64385619,,,20.618,28.496,28.822,31.466,28.907,30.623,30.96,21.938
,,1.430555556,0.0005,24.18,24.232,0.073,-10.96578428,,,24.232,32.439,32.723,35.439,32.818,35.409,34.954,21.856
,,1.430555556,0.0005,24.283,24.232,0.073,-10.96578428,,,24.232,32.439,32.723,35.439,32.818,35.409,34.954,21.856
,,1:20000,0.00005,28.521,28.455,0.093,-14.28771238,,,28.455,,34.634,37.137,33.804,,,21.852
,,1:20000,0.00005,28.39,28.455,0.093,-14.28771238,,,28.455,,34.634,37.137,33.804,,,21.852
,,1:200000,0.000005,31.913,32.059,0.205,-17.60964047,,,32.059,,39.624,36.651,,36.901,37.707,21.752
,,1:200000,0.000005,32.204,32.059,0.205,-17.60964047,,,32.059,,39.624,36.651,,36.901,37.707,21.752
,DENV2_1,1:20,0.05,25.221,25.109,0.158,-4.321928095,,,,,,,,,,
,,1:20,0.05,24.997,25.109,0.158,-4.321928095,,,,,,,,,,
,,0.180555556,0.005,28.36,28.496,0.192,-7.64385619,,,,,,,,,,
,,0.180555556,0.005,28.632,28.496,0.192,-7.64385619,,,,,,,,,,
,,1.430555556,0.0005,32.204,32.439,0.332,-10.96578428,,,,,,,,,,
,,1.430555556,0.0005,32.673,32.439,0.332,-10.96578428,,,,,,,,,,
,,1:20000,0.00005,Undetermined,,,-14.28771238,,,,,,,,,,
,,1:20000,0.00005,Undetermined,,,-14.28771238,,,,,,,,,,
,,1:200000,0.000005,Undetermined,,,-17.60964047,,,,,,,,,,
,,1:200000,0.000005,Undetermined,,,-17.60964047,,,,,,,,,,
,DENV2_2,1:20,0.05,25.385,25.546,0.229,-4.321928095,,,,,,,,,,
,,1:20,0.05,25.708,25.546,0.229,-4.321928095,,,,,,,,,,
,,0.180555556,0.005,28.553,28.822,0.381,-7.64385619,,,,,,,,,,
,,0.180555556,0.005,29.091,28.822,0.381,-7.64385619,,,,,,,,,,
,,1.430555556,0.0005,33.193,32.723,0.665,-10.96578428,,,,,,,,,,
,,1.430555556,0.0005,32.253,32.723,0.665,-10.96578428,,,,,,,,,,
,,1:20000,0.00005,Undetermined,34.634,,-14.28771238,,,,,,,,,,
,,1:20000,0.00005,34.634,34.634,,-14.28771238,,,,,,,,,,
,,1:200000,0.000005,39.624,39.624,,-17.60964047,,,,,,,,,,
,,1:200000,0.000005,Undetermined,39.624,,-17.60964047,,,,,,,,,,
,DENV2_3,1:20,0.05,28.258,28.07,0.266,-4.321928095,,,,,,,,,,
,,1:20,0.05,27.881,28.07,0.266,-4.321928095,,,,,,,,,,
,,0.180555556,0.005,31.983,31.466,0.73,-7.64385619,,,,,,,,,,
,,0.180555556,0.005,30.95,31.466,0.73,-7.64385619,,,,,,,,,,
,,1.430555556,0.0005,Undetermined,35.439,,-10.96578428,,,,,,,,,,
,,1.430555556,0.0005,35.439,35.439,,-10.96578428,,,,,,,,,,
,,1:20000,0.00005,37.137,37.137,,-14.28771238,,,,,,,,,,
,,1:20000,0.00005,Undetermined,37.137,,-14.28771238,,,,,,,,,,
,,1:200000,0.000005,Undetermined,36.651,,-17.60964047,,,,,,,,,,
,,1:200000,0.000005,36.651,36.651,,-17.60964047,,,,,,,,,,
,DENV2_revcomp_1,1:20,0.05,24.259,24.734,0.671,-4.321928095,,,,,,,,,,
,,1:20,0.05,25.208,24.734,0.671,-4.321928095,,,,,,,,,,
,,0.180555556,0.005,28.897,28.907,0.014,-7.64385619,,,,,,,,,,
,,0.180555556,0.005,28.918,28.907,0.014,-7.64385619,,,,,,,,,,
,,1.430555556,0.0005,33.065,32.818,0.35,-10.96578428,,,,,,,,,,
,,1.430555556,0.0005,32.571,32.818,0.35,-10.96578428,,,,,,,,,,
,,1:20000,0.00005,33.804,33.804,,-14.28771238,,,,,,,,,,
,,1:20000,0.00005,Undetermined,33.804,,-14.28771238,,,,,,,,,,
,,1:200000,0.000005,Undetermined,,,-17.60964047,,,,,,,,,,
,,1:200000,0.000005,Undetermined,,,-17.60964047,,,,,,,,,,
,DENV2_revcomp_2,1:20,0.05,27.768,27.699,0.099,-4.321928095,,,,,,,,,,
,,1:20,0.05,27.629,27.699,0.099,-4.321928095,,,,,,,,,,
,,0.180555556,0.005,30.507,30.623,0.165,-7.64385619,,,,,,,,,,
,,0.180555556,0.005,30.739,30.623,0.165,-7.64385619,,,,,,,,,,
,,1.430555556,0.0005,35.339,35.409,0.1,-10.96578428,,,,,,,,,,
,,1.430555556,0.0005,35.48,35.409,0.1,-10.96578428,,,,,,,,,,
,,1:20000,0.00005,Undetermined,,,-14.28771238,,,,,,,,,,
,,1:20000,0.00005,Undetermined,,,-14.28771238,,,,,,,,,,
,,1:200000,0.000005,36.901,36.901,,-17.60964047,,,,,,,,,,
,,1:200000,0.000005,Undetermined,36.901,,-17.60964047,,,,,,,,,,
,DENV2_revcomp_3,1:20,0.05,27.718,27.887,0.24,-4.321928095,,,,,,,,,,
,,1:20,0.05,28.057,27.887,0.24,-4.321928095,,,,,,,,,,
,,0.180555556,0.005,30.925,30.96,0.049,-7.64385619,,,,,,,,,,
,,0.180555556,0.005,30.994,30.96,0.049,-7.64385619,,,,,,,,,,
,,1.430555556,0.0005,34.516,34.954,0.619,-10.96578428,,,,,,,,,,
,,1.430555556,0.0005,35.392,34.954,0.619,-10.96578428,,,,,,,,,,
,,1:20000,0.00005,Undetermined,,,-14.28771238,,,,,,,,,,
,,1:20000,0.00005,Undetermined,,,-14.28771238,,,,,,,,,,
,,1:200000,0.000005,Undetermined,37.707,,-17.60964047,,,,,,,,,,
,,1:200000,0.000005,37.707,37.707,,-17.60964047,,,,,,,,,,
,panDENV,1:20,0.05,22.133,22.146,0.019,-4.321928095,,,,,,,,,,
,,1:20,0.05,22.159,22.146,0.019,-4.321928095,,,,,,,,,,
,,0.180555556,0.005,21.954,21.938,0.023,-7.64385619,,,,,,,,,,
,,0.180555556,0.005,21.922,21.938,0.023,-7.64385619,,,,,,,,,,
,,1.430555556,0.0005,21.904,21.856,0.067,-10.96578428,,,,,,,,,,
,,1.430555556,0.0005,21.809,21.856,0.067,-10.96578428,,,,,,,,,,
,,1:20000,0.00005,21.874,21.852,0.032,-14.28771238,,,,,,,,,,
,,1:20000,0.00005,21.829,21.852,0.032,-14.28771238,,,,,,,,,,
,,1:200000,0.000005,21.775,21.752,0.032,-17.60964047,,,,,,,,,,
,,1:200000,0.000005,21.73,21.752,0.032,-17.60964047,,,,,,,,,,
